;;;Total \1;;;;;;;;;White;;;;;;;;;Black;;;;;;;;
;Post office abbreviation;2-DIGIT ANSI code;;;;;;;;;;;;;;;;;;;;;;;;;;;
State;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1980;1990;2000;2001;2002;2003;2004;2005;2006;1980;1990;2000;2001;2002;2003;2004;2005;2006;1980;1990;2000;2001;2002;2003;2004;2005;2006
Virginia;VA;51;13,6;10,2;6,9;7,6;7,4;7,7;7,5;7,5;7,1;11,9;7,4;5,4;5,4;5,5;6,2;5,8;5,8;5,4;19,8;19,5;12,4;15,8;14,6;13,6;14,2;14,1;13,3
Washington;WA;53;11,8;7,8;5,2;5,8;5,8;5,6;5,5;5,1;4,7;11,5;7,3;4,9;5,7;5,5;5,5;5,4;4,8;4,4;16,4;20,6;9,4;12,9;12,7;9,7;10,6;10,9;7,4
West Virginia;WV;54;11,8;9,9;7,6;7,2;9,1;7,3;7,6;8,1;7,4;11,4;8,1;7,4;7,2;8,5;6,9;7,4;7,9;6,7;21,5;(B);(B);(B);(B);(B);       (B);     (B);28,6
Wisconsin;WI;55;10,3;8,2;6,6;7,1;6,9;6,5;6,0;6,6;6,4;9,7;7,7;5,5;5,9;5,6;5,4;4,6;5,4;5,0;18,5;19,0;17,2;17,8;18,9;15,7;19,4;17,7;18,3
Wyoming;WY;56;9,8;8,6;6,7;5,9;6,7;5,8;8,8;6,8;7,0;9,3;7,5;6,5;5,9;6,8;4,9;8,3;6,9;6,6;25,9;(B);      (B);(B);(B);(B);      (B);     (B);(B)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Puerto Rico;PR;72;(NA);(NA);9,7;9,3;9,7;9,7;8,0;9,2;8,8;(NA);(NA);10,2;9,9;10,4;10,5;8,6;10,0;9,5;(NA);(NA);      (B);(B);(B);(B);(B);     (B);(B)
  Virgin Islands;VI;78;(NA);(NA);13,4;(B);(B);(B);(B);(B);(B);(NA);(NA);(B);(B);(B);(B);(B);(B);(B);(B);(B);      (B);(B);(B);(B);(B);     (B);(B)
  Guam;GU;66;(NA);(NA);5,8;9,8;(B);11,3;11,7;10,7;13,3;(NA);(NA);(B);(B);(B);(B);(B);(B);(B);(B);(B);      (B);(B);(B);(B);(B);     (B);(B)
  American Samoa;AS;60;(NA);(NA);(B);(B);13,5;12,4;15,2;(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);      (B);(B);(B);(B);(B);     (B);(B)
  Northern Marianas;MP;69;(NA);(NA);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);      (B);(B);(B);(B);(B);     (B);(B)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
